sample-id,absolute-filepath,direction
sar100,$PWD/Reads/sar100-2019_S10_L001_R1_001.fastq.gz,forward
sar100,$PWD/Reads/sar100-2019_S10_L001_R2_001.fastq.gz,reverse
sar102,$PWD/Reads/sar102-2019_S11_L001_R1_001.fastq.gz,forward
sar102,$PWD/Reads/sar102-2019_S11_L001_R2_001.fastq.gz,reverse
sar103,$PWD/Reads/sar103-2019_S12_L001_R1_001.fastq.gz,forward
sar103,$PWD/Reads/sar103-2019_S12_L001_R2_001.fastq.gz,reverse
sar106,$PWD/Reads/sar106-2019_S15_L001_R1_001.fastq.gz,forward
sar106,$PWD/Reads/sar106-2019_S15_L001_R2_001.fastq.gz,reverse
sar109,$PWD/Reads/sar109-2019_S99_L001_R1_001.fastq.gz,forward
sar109,$PWD/Reads/sar109-2019_S99_L001_R2_001.fastq.gz,reverse
sar112,$PWD/Reads/sar112-2019_S102_L001_R1_001.fastq.gz,forward
sar112,$PWD/Reads/sar112-2019_S102_L001_R2_001.fastq.gz,reverse
sar115,$PWD/Reads/sar115-2019_S105_L001_R1_001.fastq.gz,forward
sar115,$PWD/Reads/sar115-2019_S105_L001_R2_001.fastq.gz,reverse
sar117,$PWD/Reads/sar117-2019_S107_L001_R1_001.fastq.gz,forward
sar117,$PWD/Reads/sar117-2019_S107_L001_R2_001.fastq.gz,reverse
sar119,$PWD/Reads/sar119-2019_S109_L001_R1_001.fastq.gz,forward
sar119,$PWD/Reads/sar119-2019_S109_L001_R2_001.fastq.gz,reverse
sar122,$PWD/Reads/sar122-2019_S112_L001_R1_001.fastq.gz,forward
sar122,$PWD/Reads/sar122-2019_S112_L001_R2_001.fastq.gz,reverse

